Epoch	ERROR1	TIME	
00000766	11.150240	26:15:07:49
00000767	11.132883	26:15:07:49
00000768	11.115536	26:15:07:49
00000769	11.098198	26:15:07:49
00000770	11.080871	26:15:07:49
00000771	11.063554	26:15:07:49
00000772	11.046247	26:15:07:49
00000773	11.028950	26:15:07:49
00000774	11.011691	26:15:07:49
00000775	10.994505	26:15:07:49
00000776	10.977338	26:15:07:49
00000777	10.960267	26:15:07:49
00000778	10.943290	26:15:07:49
00000779	10.926365	26:15:07:49
00000780	10.909479	26:15:07:49
00000781	10.892600	26:15:07:49
00000782	10.875728	26:15:07:49
00000783	10.858865	26:15:07:49
00000784	10.842009	26:15:07:49
00000785	10.825218	26:15:07:49
00000786	10.808445	26:15:07:49
00000787	10.791680	26:15:07:49
00000788	10.774924	26:15:07:49
00000789	10.758214	26:15:07:49
00000790	10.741514	26:15:07:49
00000791	10.724915	26:15:07:49
00000792	10.708332	26:15:07:49
00000793	10.691779	26:15:07:49
00000794	10.675232	26:15:07:49
00000795	10.658691	26:15:07:49
00000796	10.642157	26:15:07:49
00000797	10.625628	26:15:07:49
00000798	10.609106	26:15:07:49
00000799	10.592591	26:15:07:49
00000800	10.576083	26:15:07:49
00000801	10.559581	26:15:07:49
00000802	10.543086	26:15:07:49
00000803	10.526612	26:15:07:49
00000804	10.510166	26:15:07:49
00000805	10.493726	26:15:07:49
00000806	10.477310	26:15:07:49
00000807	10.460971	26:15:07:49
00000808	10.444639	26:15:07:49
00000809	10.428314	26:15:07:49
00000810	10.411994	26:15:07:49
00000811	10.395695	26:15:07:49
00000812	10.379427	26:15:07:49
00000813	10.363205	26:15:07:49
00000814	10.347033	26:15:07:49
00000815	10.330866	26:15:07:49
